eplenmean,explained_variance,clipfrac,time_elapsed,eprewmean,fps,approxkl,serial_timesteps,total_timesteps,value_loss,nupdates,policy_loss,policy_entropy
nan,0.9995247751940042,0.18306476,504.9863872528076,nan,2098,0.011804988,88064,1056768,0.0001914898,43,-0.03276373,33.41447
nan,0.9994945157668553,0.17980957,516.9363205432892,nan,2056,0.011559261,90112,1081344,0.00019478108,44,-0.032320935,33.389076
nan,0.9995166356966365,0.17603758,528.6190989017487,nan,2103,0.011279617,92160,1105920,0.00018623492,45,-0.032646615,33.369938
nan,0.999499207129702,0.18018803,540.0932152271271,nan,2142,0.011626292,94208,1130496,0.00018603393,46,-0.032687202,33.358067
nan,0.9995277467533015,0.1811767,551.8648130893707,nan,2087,0.0117169395,96256,1155072,0.00017815715,47,-0.032954413,33.331173
nan,0.9995183265127707,0.18674317,563.795520067215,nan,2060,0.012005061,98304,1179648,0.00017282952,48,-0.03348728,33.30032
nan,0.999457576777786,0.18967691,575.5851147174835,nan,2084,0.01219252,100352,1204224,0.00017827035,49,-0.033573084,33.258125
nan,0.9995225279126316,0.17952473,587.1804330348969,nan,2119,0.011573458,102400,1228800,0.00017349969,50,-0.032571837,33.226208
nan,0.9995160147664137,0.18481445,598.8363037109375,nan,2108,0.011883105,104448,1253376,0.00017391346,51,-0.033572238,33.190693
nan,0.9994059124728665,0.19244792,610.7729034423828,nan,2059,0.012277072,106496,1277952,0.00018814436,52,-0.034391485,33.176445
nan,0.99949408788234,0.19020589,622.3486635684967,nan,2123,0.012264936,108544,1302528,0.00019444374,53,-0.03398373,33.136177
nan,0.9994126367382705,0.18872483,634.0522844791412,nan,2100,0.012116287,110592,1327104,0.00020125303,54,-0.03292816,33.110653
nan,0.9994935343856923,0.18542895,646.0078728199005,nan,2055,0.011873301,112640,1351680,0.00018792046,55,-0.03412009,33.06797
nan,0.9995323561306577,0.18570553,658.0355987548828,nan,2043,0.011803047,114688,1376256,0.00017511792,56,-0.033768415,33.024776
nan,0.9993943882873282,0.19311514,669.7753512859344,nan,2093,0.012268326,116736,1400832,0.00018512101,57,-0.034681793,32.972973
nan,0.9993377799983136,0.18932295,681.5821120738983,nan,2081,0.012157211,118784,1425408,0.00019679098,58,-0.0339107,32.92318
nan,0.9993568839272484,0.2011312,693.3378674983978,nan,2090,0.012819407,120832,1449984,0.00017751653,59,-0.035513088,32.84466
nan,0.9993944495799951,0.1898723,705.2170007228851,nan,2069,0.01221562,122880,1474560,0.00018611347,60,-0.033993274,32.7975
