serial_timesteps,eplenmean,value_loss,total_timesteps,fps,time_elapsed,clipfrac,eprewmean,policy_entropy,approxkl,policy_loss,explained_variance,nupdates
88064,nan,0.00043162936,1056768,2217,478.5253744125366,0.22862136,nan,27.752253,0.014814551,-0.0358235,0.9989517083158717,43
90112,nan,0.00041940482,1081344,2215,489.62100172042847,0.23886724,nan,27.292196,0.015660003,-0.03697047,0.9990763360401616,44
92160,nan,0.00039472285,1105920,2263,500.4808828830719,0.24765626,nan,26.811687,0.016026653,-0.038053777,0.9991982757928781,45
94208,nan,0.00042764447,1130496,2218,511.55768179893494,0.24832359,nan,26.316568,0.01618285,-0.038466237,0.9992018908378668,46
96256,nan,0.00041180593,1155072,2209,522.6820204257965,0.25171313,nan,25.832682,0.016547782,-0.038320996,0.9992438298650086,47
98304,nan,0.00039972685,1179648,2239,533.6589047908783,0.24871829,nan,25.357136,0.016020285,-0.037391663,0.9992973299813457,48
100352,nan,0.00040847133,1204224,2181,544.9240801334381,0.25048837,nan,24.878496,0.016258402,-0.03735284,0.9992926840786822,49
102400,nan,0.0003981463,1228800,2218,556.0009639263153,0.24540608,nan,24.407354,0.016189003,-0.037108444,0.9992981929099187,50
104448,nan,0.000395705,1253376,2242,566.9588787555695,0.2545899,nan,23.935444,0.016562786,-0.037697516,0.999297316360753,51
106496,nan,0.00039038467,1277952,2177,578.2448601722717,0.2479858,nan,23.46779,0.016151555,-0.036159057,0.9993645296199247,52
108544,nan,0.00037236305,1302528,2240,589.2139005661011,0.243632,nan,23.008814,0.015954424,-0.03490016,0.9993667246890254,53
110592,nan,0.00037259381,1327104,2248,600.1439135074615,0.24081211,nan,22.54852,0.015593606,-0.03424253,0.9993794877664186,54
112640,nan,0.00035201907,1351680,2182,611.4053757190704,0.24215505,nan,22.095905,0.015845217,-0.03462761,0.9993452186463401,55
114688,nan,0.0003375192,1376256,2184,622.6581676006317,0.2384685,nan,21.661499,0.01540074,-0.033406187,0.9993808030267246,56
116736,nan,0.00032886193,1400832,2243,633.6120867729187,0.2318929,nan,21.238832,0.014890936,-0.03222325,0.99931344401557,57
118784,nan,0.0003172573,1425408,2178,644.8945415019989,0.2390461,nan,20.810604,0.015592815,-0.03295543,0.9993276931345463,58
