serial_timesteps,time_elapsed,nupdates,policy_entropy,clipfrac,value_loss,policy_loss,explained_variance,approxkl,eprewmean,total_timesteps,eplenmean,fps
88064,496.9193410873413,43,30.993195,0.19971108,0.20965092,-0.02845111,0.06753873825073242,0.012839685,nan,1056768,nan,2127
90112,508.3056960105896,44,30.844397,0.19555666,0.20695755,-0.028630665,0.05985152721405029,0.012613922,nan,1081344,nan,2158
92160,519.6810920238495,45,30.691822,0.20211184,0.21156819,-0.029516255,0.06663280725479126,0.013058649,nan,1105920,nan,2160
94208,531.4237296581268,46,30.55545,0.19829105,0.21014833,-0.028864067,0.06565433740615845,0.012705835,nan,1130496,nan,2093
96256,543.2728757858276,47,30.413193,0.19873859,0.19904622,-0.028481875,0.05808156728744507,0.012831676,nan,1155072,nan,2074
98304,554.6061372756958,48,30.257639,0.1978841,0.21190742,-0.028441677,0.07105207443237305,0.012716834,nan,1179648,nan,2168
100352,565.9670057296753,49,30.093302,0.20621328,0.213113,-0.02923941,0.07022404670715332,0.013282759,nan,1204224,nan,2163
102400,577.6479654312134,50,29.936447,0.20792237,0.21005157,-0.02960731,0.07148265838623047,0.013321532,nan,1228800,nan,2104
104448,589.1640467643738,51,29.773571,0.20569655,0.19730368,-0.029324546,0.07002753019332886,0.013216585,nan,1253376,nan,2134
106496,600.6810657978058,52,29.612024,0.19950359,0.19825877,-0.029591477,0.06625533103942871,0.012800294,nan,1277952,nan,2134
108544,612.3280596733093,53,29.452183,0.20532632,0.19884989,-0.02934499,0.07167911529541016,0.013184768,nan,1302528,nan,2110
110592,624.1392817497253,54,29.294811,0.21286218,0.18354249,-0.030140122,0.07521641254425049,0.013658488,nan,1327104,nan,2080
112640,635.6365211009979,55,29.11353,0.20686857,0.1971753,-0.029301023,0.07020801305770874,0.01321467,nan,1351680,nan,2137
114688,647.2571556568146,56,28.931726,0.21083578,0.19531901,-0.029549569,0.06888169050216675,0.013495071,nan,1376256,nan,2115
116736,658.9217443466187,57,28.743107,0.20873216,0.18149635,-0.029412199,0.06997978687286377,0.01338684,nan,1400832,nan,2107
118784,670.7274723052979,58,28.574677,0.20380044,0.17119601,-0.028992256,0.07371842861175537,0.013084976,nan,1425408,nan,2081
120832,682.2154738903046,59,28.404947,0.20585525,0.17399083,-0.028776238,0.07356786727905273,0.013234114,nan,1449984,nan,2139
122880,693.8972764015198,60,28.204248,0.21871746,0.17688441,-0.030450087,0.07359802722930908,0.014168078,nan,1474560,nan,2103
124928,705.3426995277405,61,28.014841,0.20480151,0.18704595,-0.027840596,0.08270388841629028,0.013248518,nan,1499136,nan,2148
126976,716.6840190887451,62,27.847363,0.21146648,0.186334,-0.029424166,0.07910960912704468,0.013591622,nan,1523712,nan,2167
129024,727.894478559494,63,27.675518,0.21084389,0.17556593,-0.02856128,0.0833391547203064,0.013555832,nan,1548288,nan,2192
131072,739.1574642658234,64,27.508926,0.19999185,0.16482405,-0.027893677,0.08219832181930542,0.012886733,nan,1572864,nan,2182
133120,750.4884607791901,65,27.311829,0.22528484,0.17114286,-0.029862056,0.08274847269058228,0.014546834,nan,1597440,nan,2169
135168,761.9079768657684,66,27.130367,0.20454109,0.16455415,-0.027414653,0.07997697591781616,0.013196429,nan,1622016,nan,2152
137216,773.4860243797302,67,26.95254,0.21223557,0.17701742,-0.02873383,0.0883285403251648,0.013582937,nan,1646592,nan,2122
139264,784.819436788559,68,26.783316,0.21001792,0.16438624,-0.02823477,0.08144652843475342,0.013509023,nan,1671168,nan,2168
141312,796.4382312297821,69,26.60426,0.21559241,0.17713673,-0.028841982,0.0828777551651001,0.013900517,nan,1695744,nan,2115
143360,807.8027081489563,70,26.430683,0.21430258,0.1681283,-0.028339038,0.0921856164932251,0.013832931,nan,1720320,nan,2162
145408,819.0338516235352,71,26.257473,0.21462813,0.16947976,-0.028750265,0.08658629655838013,0.013910103,nan,1744896,nan,2188
147456,830.3259038925171,72,26.052235,0.21648757,0.16931228,-0.028707843,0.08167612552642822,0.013910094,nan,1769472,nan,2176
149504,841.781786441803,73,25.844223,0.21899824,0.15650861,-0.028158775,0.0901484489440918,0.014080432,nan,1794048,nan,2145
151552,853.2191395759583,74,25.667126,0.21536048,0.16015992,-0.02822949,0.0923922061920166,0.013898554,nan,1818624,nan,2148
153600,864.3985962867737,75,25.476923,0.21748057,0.1699296,-0.028012598,0.09259772300720215,0.014155062,nan,1843200,nan,2198
155648,875.7212960720062,76,25.286919,0.21891277,0.16378732,-0.02766175,0.08842664957046509,0.014139146,nan,1867776,nan,2170
157696,887.3087472915649,77,25.121485,0.22053222,0.15803257,-0.02846978,0.09743398427963257,0.0142480675,nan,1892352,nan,2121
