value_loss,fps,nupdates,clipfrac,time_elapsed,eprewmean,approxkl,policy_loss,policy_entropy,eplenmean,explained_variance,total_timesteps,serial_timesteps
0.35517025,993,1,0.15335289,24.73572015762329,nan,0.010194588,-0.01919065,34.01528,nan,-0.1257256269454956,24576,2048
0.41301662,995,2,0.14181724,49.461084604263306,nan,0.00949516,-0.019047871,33.94532,nan,-0.2140578031539917,49152,4096
0.48370957,985,3,0.1446574,74.3989839553833,nan,0.009677368,-0.019446727,33.849373,nan,-0.20312166213989258,73728,6144
0.52231467,986,4,0.14079991,99.3110740184784,nan,0.009405312,-0.019285753,33.769436,nan,-0.13556718826293945,98304,8192
0.5436631,998,5,0.14124349,123.93104982376099,nan,0.009543775,-0.019498121,33.68989,nan,-0.11843442916870117,122880,10240
0.53651154,995,6,0.13600259,148.60796213150024,nan,0.009221073,-0.019317228,33.619366,nan,-0.1461172103881836,147456,12288
0.5059666,1003,7,0.14358316,173.09918904304504,nan,0.0095423525,-0.019679762,33.542847,nan,-0.25826096534729004,172032,14336
0.5151337,997,8,0.13843182,197.73075795173645,nan,0.009377635,-0.019323716,33.498608,nan,-0.32049036026000977,196608,16384
0.5200571,988,9,0.1397705,222.60123825073242,nan,0.0094162915,-0.019569928,33.457832,nan,-0.27513670921325684,221184,18432
0.4916036,996,10,0.13614504,247.27337336540222,nan,0.009196549,-0.019421913,33.39377,nan,-0.24646389484405518,245760,20480
0.48057324,996,11,0.13929847,271.94197726249695,nan,0.009395355,-0.020187289,33.318504,nan,-0.2631087303161621,270336,22528
0.44763595,995,12,0.1435831,296.6257004737854,nan,0.0096166665,-0.0204893,33.25398,nan,-0.4229644536972046,294912,24576
0.42407903,991,13,0.13454999,321.42401218414307,nan,0.009183713,-0.020170603,33.20457,nan,-0.3901571035385132,319488,26624
0.41128033,991,14,0.14742841,346.2146420478821,nan,0.009722034,-0.021941027,33.161213,nan,-0.3247469663619995,344064,28672
0.4003884,995,15,0.14285886,370.91439723968506,nan,0.009600393,-0.021289313,33.09703,nan,-0.30633223056793213,368640,30720
0.36662138,990,16,0.13183185,395.7216112613678,nan,0.009004662,-0.019753626,33.037247,nan,-0.300870418548584,393216,32768
0.30519933,993,17,0.1560669,420.46305871009827,nan,0.0102373315,-0.02251567,32.97464,nan,-0.26743316650390625,417792,34816
